country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
United Kingdom,Europe,1996,1440,6.84,17.1,11,82.9,1190,13.4,58100000,240,77
United States,Americas,1996,3900,13.5,55,14.4,45,1750,16.6,268000000,29.4,76.3
Uruguay,Americas,1996,682,10.8,47,NA,53,362,19.4,3250000,18.6,73.8
Uzbekistan,NA,1996,32,5.43,31.9,30.5,68.1,21.8,6.95,23200000,54.8,67.6
Vanuatu,NA,1996,36.9,2.15,27.9,19.9,72.1,26.6,7.02,172000,14.1,63.1
Venezuela,Americas,1996,106,3.49,57.6,NA,42.4,45,6.56,22400000,25.7,73
Vietnam,Asia,1996,16.4,5.01,67.4,65.9,32.6,5.36,7.06,76100000,246,70.5
Yemen,NA,1996,25.1,4.75,56.3,53.6,43.7,11,5.17,15500000,30.1,61.2
Zambia,Africa,1996,21,5.89,38,35.1,62,13,13.3,9340000,12.6,45.7
Zimbabwe,Africa,1996,57.1,7.94,48.6,29.9,51.4,29.4,12.1,11500000,29.8,50.8
Afghanistan,Asia,1997,NA,NA,NA,NA,NA,NA,NA,19400000,28.2,53.7
Albania,Europe,1997,36.1,4.81,60.8,60.7,39.2,14.2,6.47,3100000,113,72.5
Algeria,Africa,1997,66.9,4.06,25.6,24.8,74.3,49.7,9.75,29700000,12.5,73.2
Andorra,NA,1997,1460,8.03,33.8,25.2,66.2,967,23.2,64300,137,80.3
Angola,Africa,1997,13.5,2.26,22.1,22.1,77.9,10.5,3.57,14900000,12.1,50.2
Antigua and Barbuda,NA,1997,372,4.64,34,29.6,66,246,12,71700,177,74.4
Argentina,Americas,1997,686,8.36,45.5,28.8,54.5,373,15,35700000,13.1,73.5
Armenia,NA,1997,30.3,5.79,75.7,71.5,24.3,7.36,7.71,3130000,110,71
Australia,Oceania,1997,1760,7.46,33.1,16.9,66.9,1180,14.5,18400000,2.4,78.6
Austria,Europe,1997,2550,9.78,24.3,15.5,75.7,1930,13.8,8030000,97.5,77.6
Azerbaijan,NA,1997,27.5,5.49,77.6,61.8,22.4,6.15,6.59,7930000,95.9,65.6
Bahamas,NA,1997,948,6.47,58.2,23.4,41.8,396,13.7,287000,28.7,71.3
Bahrain,Asia,1997,504,4.65,29.9,21.4,70.1,353,11.2,595000,783,71.4
Barbados,NA,1997,494,5.94,34.8,NA,65.2,322,11.3,268000,621,74.4
Belarus,NA,1997,91.1,6.59,17.7,8.8,82.3,75,12.1,10000000,49.6,68.5
Belgium,Europe,1997,1910,7.76,24.6,21.1,75.4,1440,11.4,10200000,338,77.4
Belize,NA,1997,110,3.9,42,NA,58,63.7,8.95,222000,9.72,71.1
Benin,Africa,1997,16.3,4.31,57.9,57.9,42.1,6.87,10.3,6280000,55.7,57
Bhutan,NA,1997,35.3,5.44,30.8,30.8,69.2,24.4,9.45,552000,13.9,64.5
Bolivia,Americas,1997,44.9,4.42,34,NA,66,29.6,9.05,7940000,7.27,64.7
Bosnia and Herzegovina,Europe,1997,88.9,7.9,55.5,55.5,44.5,39.5,9.5,3740000,73.6,74.1
Botswana,Africa,1997,138,4.42,43.5,15.1,56.5,77.7,6.36,1540000,2.89,57.9
Brazil,Americas,1997,356,6.81,57,NA,43,153,7.03,167000000,20,70.2
Brunei,NA,1997,634,3.76,18.8,18.6,81.2,515,5.89,312000,59.2,73.1
Bulgaria,Europe,1997,63.9,5.12,28.3,NA,71.7,45.8,11.2,8210000,75.6,70.4
